mode,step,sim_time,reward,global_queue,global_avg_delay,accident_events,active_accidents,jam_active,demand_keep_prob,vehicles_removed
FIXED,1,6.0,-0.028857142857142852,1.0,0.1360544217687075,0,0,0,1.0,0
FIXED,2,11.0,-0.02885714285714285,1.0,0.1360544217687075,0,0,0,1.0,0
FIXED,3,16.0,-0.02885714285714286,1.0,0.1360544217687075,0,0,0,1.0,0
FIXED,4,21.0,-0.028857142857142852,1.0,0.1360544217687075,0,0,0,1.0,0
FIXED,5,26.0,-0.02885714285714284,1.0,0.1360544217687075,0,0,0,1.0,0
FIXED,6,31.0,0.0,0.0,0.0,0,0,0,1.0,0
FIXED,7,36.0,-0.05771428571428569,2.0,0.272108843537415,0,0,0,1.0,0
FIXED,8,41.0,-0.11542857142857141,4.0,0.54421768707483,0,0,0,1.0,0
FIXED,9,46.0,-0.14428571428571427,5.0,0.6802721088435374,0,0,0,1.0,0
FIXED,10,51.0,-0.202,7.0,0.9523809523809523,0,0,0,1.0,0
FIXED,11,56.0,-0.2308571428571428,8.0,1.08843537414966,0,0,0,1.0,0
FIXED,12,61.0,-0.3751428571428572,13.0,1.768707482993197,0,0,0,1.0,0
FIXED,13,66.0,-0.02885714285714286,1.0,0.1360544217687075,0,0,0,1.0,0
FIXED,14,71.0,-0.17314285714285718,6.0,0.8163265306122449,0,0,0,1.0,0
FIXED,15,76.0,-0.2885714285714285,10.0,1.360544217687075,0,0,0,1.0,0
FIXED,16,81.0,-0.3751428571428573,13.0,1.768707482993197,0,0,0,1.0,0
FIXED,17,86.0,-0.49057142857142855,17.0,2.3129251700680276,0,0,0,1.0,0
FIXED,18,91.0,-0.5482857142857144,19.0,2.585034013605442,0,0,0,1.0,0
FIXED,19,96.0,-0.202,7.0,0.9523809523809523,0,0,0,1.0,0
FIXED,20,101.0,-0.31742857142857156,11.0,1.4965986394557824,0,0,0,1.0,0
FIXED,21,106.0,-0.5194285714285714,18.0,2.4489795918367343,0,0,0,1.0,0
FIXED,22,111.0,-0.6348571428571431,22.0,2.993197278911565,0,0,0,1.0,0
FIXED,23,116.0,-0.836857142857143,29.0,3.9455782312925165,0,0,0,1.0,0
FIXED,24,121.0,-1.1811428571428575,34.0,4.625850340136055,0,0,0,1.0,0
FIXED,25,126.0,-0.202,7.0,0.9523809523809523,0,0,0,1.0,0
FIXED,26,131.0,-0.4328571428571428,15.0,2.0408163265306123,0,0,0,1.0,0
FIXED,27,136.0,-0.6637142857142857,23.0,3.129251700680272,0,0,0,1.0,0
FIXED,28,141.0,-0.8702857142857141,26.0,3.5374149659863954,0,0,0,1.0,0
FIXED,29,146.0,-0.8368571428571427,29.0,3.9455782312925174,0,0,0,1.0,0
FIXED,30,151.0,-0.8945714285714287,31.0,4.217687074829932,0,0,0,1.0,0
FIXED,31,156.0,-0.202,7.0,0.9523809523809523,0,0,0,1.0,0
FIXED,32,161.0,-0.6348571428571429,22.0,2.993197278911564,0,0,0,1.0,0
FIXED,33,166.0,-1.052285714285714,33.0,4.489795918367347,0,0,0,1.0,0
FIXED,34,171.0,-1.503142857142857,41.0,5.578231292517008,0,0,0,1.0,0
FIXED,35,176.0,-1.3585714285714288,45.0,6.1224489795918355,0,0,0,1.0,0
FIXED,36,181.0,-1.6471428571428572,55.0,7.482993197278911,0,0,0,1.0,0
FIXED,37,186.0,-0.3751428571428572,13.0,1.768707482993197,0,0,0,1.0,0
FIXED,38,191.0,-0.5194285714285712,18.0,2.4489795918367347,0,0,0,1.0,0
FIXED,39,196.0,-0.9657142857142857,30.0,4.081632653061225,0,0,0,1.0,0
FIXED,40,201.0,-1.485428571428571,39.0,5.3061224489795915,0,0,0,1.0,0
FIXED,41,206.0,-1.4474285714285713,46.0,6.258503401360545,0,0,0,1.0,0
FIXED,42,211.0,-1.780571428571429,52.0,7.07482993197279,0,0,0,1.0,0
FIXED,43,216.0,-0.4905714285714283,17.0,2.312925170068027,0,0,0,1.0,0
FIXED,44,221.0,-1.065714285714286,30.0,4.081632653061225,0,0,0,1.0,0
FIXED,45,226.0,-1.4808571428571424,43.0,5.850340136054422,0,0,0,1.0,0
FIXED,46,231.0,-1.702857142857143,50.0,6.802721088435375,0,0,0,1.0,0
FIXED,47,236.0,-1.607142857142857,55.0,7.482993197278914,0,0,0,1.0,0
FIXED,48,241.0,-1.9868571428571435,64.0,8.70748299319728,0,0,0,1.0,0
FIXED,49,246.0,-0.3751428571428572,13.0,1.768707482993197,0,0,0,1.0,0
FIXED,50,251.0,-1.0857142857142859,30.0,4.081632653061225,0,0,0,1.0,0
FIXED,51,256.0,-1.6431428571428568,41.0,5.578231292517008,0,0,0,1.0,0
FIXED,52,261.0,-1.916,56.0,7.61904761904762,0,0,0,1.0,0
FIXED,53,266.0,-2.0157142857142856,65.0,8.843537414965986,0,0,0,1.0,0
FIXED,54,271.0,-2.28,70.0,9.523809523809526,0,0,0,1.0,0
FIXED,55,276.0,-0.634857142857143,22.0,2.9931972789115644,0,0,0,1.0,0
FIXED,56,281.0,-1.380857142857143,43.0,5.850340136054423,0,0,0,1.0,0
FIXED,57,286.0,-1.7982857142857143,54.0,7.346938775510205,0,0,0,1.0,0
FIXED,58,291.0,-2.026857142857143,64.0,8.70748299319728,0,0,0,1.0,0
FIXED,59,296.0,-2.1934285714285715,67.0,9.115646258503402,0,0,0,1.0,0
FIXED,60,301.0,-2.0622857142857143,68.0,9.25170068027211,0,0,0,1.0,0
FIXED,61,306.0,-0.6637142857142857,23.0,3.129251700680272,0,0,0,1.0,0
