mode,step,sim_time,reward,global_queue,global_avg_delay,accident_events,active_accidents,jam_active,demand_keep_prob,vehicles_removed
MODEL,1,6.0,-0.028857142857142852,1.0,0.1360544217687075,0,0,0,1.0,0
MODEL,2,11.0,-0.02885714285714285,1.0,0.1360544217687075,0,0,0,1.0,0
MODEL,3,16.0,-0.02885714285714286,1.0,0.1360544217687075,0,0,0,1.0,0
MODEL,4,21.0,-0.028857142857142852,1.0,0.1360544217687075,0,0,0,1.0,0
MODEL,5,26.0,-0.02885714285714284,1.0,0.1360544217687075,0,0,0,1.0,0
MODEL,6,31.0,0.0,0.0,0.0,0,0,0,1.0,0
MODEL,7,36.0,-0.028857142857142845,1.0,0.1360544217687075,0,0,0,1.0,0
MODEL,8,41.0,-0.05771428571428568,2.0,0.272108843537415,0,0,0,1.0,0
MODEL,9,46.0,-0.08657142857142859,3.0,0.40816326530612246,0,0,0,1.0,0
MODEL,10,51.0,-0.028857142857142845,1.0,0.1360544217687075,0,0,0,1.0,0
MODEL,11,56.0,-0.05771428571428569,2.0,0.272108843537415,0,0,0,1.0,0
MODEL,12,61.0,-0.11542857142857141,4.0,0.54421768707483,0,0,0,1.0,0
MODEL,13,66.0,-0.08657142857142856,3.0,0.40816326530612246,0,0,0,1.0,0
MODEL,14,71.0,-0.14428571428571424,5.0,0.6802721088435374,0,0,0,1.0,0
MODEL,15,76.0,-0.2597142857142856,9.0,1.2244897959183674,0,0,0,1.0,0
MODEL,16,81.0,-0.2597142857142857,9.0,1.2244897959183674,0,0,0,1.0,0
MODEL,17,86.0,-0.202,7.0,0.9523809523809523,0,0,0,1.0,0
MODEL,18,91.0,-0.23085714285714276,8.0,1.08843537414966,0,0,0,1.0,0
MODEL,19,96.0,-0.34628571428571436,12.0,1.6326530612244898,0,0,0,1.0,0
MODEL,20,101.0,-0.2885714285714285,10.0,1.3605442176870748,0,0,0,1.0,0
MODEL,21,106.0,-0.404,14.0,1.9047619047619047,0,0,0,1.0,0
