t_s,reward_t,episode_return,num_intersections,totalQ_list,avg_delay_list,accidents_list,num_accident_clusters,max_cluster_size
1.0,-107.0740967019553,-107.0740967019553,4,19.0954;18.4340;19.8340;18.1386,54.5584;52.6686;56.6686;51.8245,1;0;1;0,0,0
2.0,-118.3994853717061,-225.47358207366142,4,20.1872;18.8829;21.6524;19.6993,57.6777;53.9512;61.8640;56.2837,1;0;1;1,0,0
3.0,-124.71996683774735,-350.19354891140875,4,21.2727;19.3345;23.4590;21.2716,60.7791;55.2415;67.0256;60.7759,1;0;1;1,0,0
4.0,-137.83386127470936,-488.0274101861181,4,22.3524;21.1882;25.2545;22.8535,63.8639;60.5377;72.1557;65.2957,1;1;1;1,0,0
5.0,-145.96066369786215,-633.9880738839803,4,23.4361;23.0347;27.0609;24.4377,66.9604;65.8134;77.3168;69.8220,1;1;1;1,0,0
6.0,-154.09802428079678,-788.086098164777,4,24.5234;24.8748;28.8764;26.0239,70.0667;71.0708;82.5040;74.3541,1;1;1;1,0,0
7.0,-162.2441379486121,-950.3302361133891,4,25.6135;26.7091;30.6996;27.6121,73.1814;76.3118;87.7132;78.8917,1;1;1;1,0,0
8.0,-170.39759475573405,-1120.7278308691232,4,26.7061;28.5383;32.5295;29.2020,76.3031;81.5381;92.9413;83.4343,1;1;1;1,0,0
9.0,-178.55727694132736,-1299.2851078104504,4,27.8008;30.3629;34.3650;30.7936,79.4309;86.7511;98.1858;87.9816,1;1;1;1,0,0
10.0,-186.72228656666758,-1486.007394377118,4,28.8974;32.1832;36.2056;32.3866,82.5641;91.9520;103.4446;92.5332,1;1;1;1,0,0
11.0,-194.89189365864885,-1680.8992880357669,4,29.9957;33.9997;38.0506;33.9811,85.7020;97.1419;108.7159;97.0888,1;1;1;1,0,0
12.0,-203.06549839504027,-1883.9647864308072,4,31.0954;35.8126;39.8994;35.5768,88.8440;102.3218;113.9983;101.6481,1;1;1;1,0,0
13.0,-211.24260309006556,-2095.2073895208728,4,32.1964;37.6223;41.7517;37.1738,91.9897;107.4923;119.2907;106.2109,1;1;1;1,0,0
14.0,-219.42279113986086,-2314.6301806607335,4,33.2985;39.4290;43.6071;38.7719,95.1386;112.6544;124.5919;110.7769,1;1;1;1,0,0
15.0,-227.60571098963436,-2542.2358916503676,4,34.4017;41.2330;45.4654;40.3711,98.2905;117.8085;129.9010;115.3460,1;1;1;1,0,0
16.0,-235.7910637771207,-2778.0269554274882,4,35.5058;43.0344;47.3261;41.9713,101.4450;122.9554;135.2174;119.9179,1;1;1;1,0,0
17.0,-243.9785937035521,-3022.0055491310404,4,36.6107;44.8334;49.1891;43.5723,104.6020;128.0955;140.5404;124.4924,1;1;1;1,0,0
18.0,-252.16808045327167,-3274.173629584312,4,37.7164;46.6302;51.0543;45.1743,107.7611;133.2292;145.8693;129.0695,1;1;1;1,0,0
19.0,-260.3593331696767,-3534.5329627539886,4,38.8228;48.4250;52.9213;46.7771,110.9222;138.3571;151.2037;133.6489,1;1;1;1,0,0
20.0,-268.55218562600135,-3803.0851483799897,4,39.9298;50.2178;54.7901;48.3807,114.0852;143.4794;156.5431;138.2305,1;1;1;1,0,0
21.0,-276.7464923224278,-4079.8316407024176,4,41.0374;52.0088;56.6605;49.9850,117.2498;148.5966;161.8871;142.8142,1;1;1;1,0,0
22.0,-284.9421253079253,-4364.773766010343,4,42.1456;53.7981;58.5324;51.5900,120.4160;153.7089;167.2354;147.4000,1;1;1;1,0,0
23.0,-293.1389715739286,-4657.912737584272,4,43.2543;55.5858;60.4057;53.1957,123.5836;158.8166;172.5877;151.9876,1;1;1;1,0,0
24.0,-301.3369309028197,-4959.249668487091,4,44.3634;57.3720;62.2803;54.8019,126.7525;163.9201;177.9436;156.5770,1;1;1;1,0,0
25.0,-309.5359140808334,-5268.785582567924,4,45.4729;59.1568;64.1560;56.4088,129.9227;169.0194;183.3029;161.1681,1;1;1;1,0,0
26.0,-317.7358414050133,-5586.521423972938,4,46.5829;60.9402;66.0329;58.0163,133.0940;174.1150;188.6654;165.7608,1;1;1;1,0,0
27.0,-325.93664142900184,-5912.458065401939,4,47.6932;62.7224;67.9108;59.6243,136.2663;179.2069;194.0309;170.3551,1;1;1;1,0,0
28.0,-334.1382499040184,-6246.596315305957,4,48.8039;64.5034;69.7897;61.2328,139.4397;184.2953;199.3992;174.9509,1;1;1;1,0,0
29.0,-342.34060888029205,-6588.93692418625,4,49.9149;66.2832;71.6695;62.8418,142.6139;189.3804;204.7701;179.5480,1;1;1;1,0,0
30.0,-350.54366594112673,-6939.480590127377,4,51.0262;68.0619;73.5502;64.4513,145.7891;194.4625;210.1434;184.1465,1;1;1;1,0,0
31.0,-358.74737354717314,-7298.22796367455,4,52.1378;69.8395;75.4317;66.0612,148.9650;199.5416;215.5190;188.7463,1;1;1;1,0,0
32.0,-366.9516884727312,-7665.179652147281,4,53.2496;71.6162;77.3139;67.6716,152.1418;204.6178;220.8968;193.3474,1;1;1;1,0,0
33.0,-375.1565713192647,-8040.336223466546,4,54.3617;73.3920;79.1968;69.2823,155.3192;209.6914;226.2767;197.9496,1;1;1;1,0,0
34.0,-383.36198609398593,-8423.69820956053,4,55.4741;75.1668;81.0805;70.8935,158.4974;214.7624;231.6585;202.5529,1;1;1;1,0,0
35.0,-391.5678998435122,-8815.266109404043,4,56.5866;76.9408;82.9647;72.5051,161.6761;219.8309;237.0421;207.1573,1;1;1;1,0,0
36.0,-399.77428233431965,-9215.040391738363,4,57.6994;78.7140;84.8496;74.1170,164.8555;224.8971;242.4275;211.7628,1;1;1;1,0,0
37.0,-407.9811057731194,-9623.021497511481,4,58.8124;80.4863;86.7351;75.7293,168.0355;229.9610;247.8145;216.3693,1;1;1;1,0,0
38.0,-416.18834456141343,-10039.209842072894,4,59.9256;82.2580;88.6211;77.3419,171.2160;235.0227;253.2030;220.9768,1;1;1;1,0,0
39.0,-424.3959750794197,-10463.605817152315,4,61.0389;84.0288;90.5076;78.9548,174.3970;240.0824;258.5931;225.5852,1;1;1;1,0,0
40.0,-432.60397549531746,-10896.209792647633,4,62.1525;85.7990;92.3946;80.5681,177.5785;245.1401;263.9846;230.1945,1;1;1;1,0,0
41.0,-440.81232559639034,-11337.022118244024,4,63.2662;87.5686;94.2821;82.1816,180.7605;250.1959;269.3775;234.8046,1;1;1;1,0,0
42.0,-449.02100663916985,-11786.043124883194,4,64.3800;89.3375;96.1701;83.7955,183.9429;255.2499;274.7716;239.4157,1;1;1;1,0,0
43.0,-457.2300012161105,-12243.273126099304,4,65.4940;91.1057;98.0584;85.4096,187.1258;260.3021;280.1669;244.0275,1;1;1;1,0,0
44.0,-465.439293136691,-12708.712419235995,4,66.6082;92.8734;99.9472;87.0240,190.3090;265.3525;285.5635;248.6401,1;1;1;1,0,0
45.0,-473.64886732113985,-13182.361286557136,4,67.7224;94.6405;101.8364;88.6387,193.4926;270.4014;290.9611;253.2534,1;1;1;1,0,0
46.0,-481.858709705235,-13664.21999626237,4,68.8368;96.4070;103.7260;90.2536,196.6766;275.4487;296.3599;257.8675,1;1;1;1,0,0
47.0,-490.06880715484465,-14154.288803417216,4,69.9513;98.1730;105.6159;91.8688,199.8610;280.4944;301.7596;262.4823,1;1;1;1,0,0
48.0,-498.2791473890553,-14652.567950806271,4,71.0660;99.9385;107.5061;93.4842,203.0457;285.5387;307.1604;267.0978,1;1;1;1,0,0
49.0,-506.48971891089025,-15159.057669717162,4,72.1807;101.7035;109.3967;95.0999,206.2307;290.5815;312.5621;271.7140,1;1;1;1,0,0
50.0,-514.7005109447507,-15673.758180661913,4,73.2956;103.4680;111.2876;96.7158,209.4160;295.6230;317.9647;276.3308,1;1;1;1,0,0
51.0,-522.911513379823,-16196.669694041735,4,74.4106;105.2321;113.1789;98.3319,212.6016;300.6631;323.3682;280.9482,1;1;1;1,0,0
52.0,-531.1227167187956,-16727.792410760532,4,75.5256;106.9957;115.0704;99.9482,215.7875;305.7020;328.7725;285.5663,1;1;1;1,0,0
53.0,-539.3341120313061,-17267.126522791837,4,76.6408;108.7589;116.9622;101.5647,218.9737;310.7396;334.1777;290.1849,1;1;1;1,0,0
54.0,-547.5456909116148,-17814.672213703452,4,77.7560;110.5216;118.8543;103.1814,222.1601;315.7760;339.5836;294.8041,1;1;1;1,0,0
55.0,-555.7574454400586,-18370.429659143512,4,78.8714;112.2839;120.7466;104.7984,225.3468;320.8112;344.9902;299.4239,1;1;1;1,0,0
